row_id,pseudo_query
49,fruity Beaujolais wine with cherry flavor and soft tannins under $15
50,Italian red blend Nero d'Avola Syrah cured meat flavor under $30
51,Chilean Petit Verdot spicy herbal salty flavor under $25
52,Italian Monica wine cherry cola black pepper flavor under $15
53,Bordeaux white blend grapefruit flavor easy to drink under $20
54,Red blend from Sicily forest berry and cola flavor under $30
55,Napa Chardonnay buttery caramel notes soft under $35
56,California Chardonnay lime pear flavor creamy under $15
57,Grillo wine from Sicily citrus stone fruit flavor crisp under $15
58,light Pinot Noir strawberry raspberry flavors dry finish under $15
59,Washington Malbec cranberry flavor grainy tannins under $60
60,Napa Cabernet Sauvignon plum vanilla jammy oaky under $100
61,Italian Sangiovese black plum vanilla cedar flavor easygoing under $20
62,Cabernet Franc Washington tart cherry dinner wine under $30
63,Champagne Rosé red berry creamy aftertaste ready to drink under $60
64,California Sauvignon Blanc with jasmine and honey notes under $30
65,Chablis Chardonnay 2015 vintage review
66,smooth and fruity Chardonnay under $20
67,Columbia Valley red blend with cherry and vanilla notes
68,cheap California red blend with blackberry and spicy flavor
69,Champagne Brut Rosé with red fruit flavors
70,Columbia Valley Chardonnay with oaky flavor under $15
71,Alexander Valley Cabernet Sauvignon for pizza night
72,Aglianico del Vulture with earthy flavor
73,Howell Mountain Cabernet Sauvignon with plum flavor around $75
74,Calistoga Petite Sirah light and fruity
75,Napa red blend Cabernet Franc and Merlot
76,Rheinhessen Riesling sweet and fruity under $10
77,Australian Chardonnay with pineapple and cashew flavor
78,Oregon Rosé of Pinot Noir with strawberry flavor
79,Tejo Portugal red wine easy to drink
80,Chilean Carmenere wine under $15 with oaky flavor
81,Spanish Albarino wine with briny flavor and leesy notes
82,sweet fruity white wine for aperitif France under $15
83,Australian rose wine passion fruit and muskmelon
84,Napa Zinfandel with smoky black fruit and mocha flavors
85,German Riesling with citrus and earthy flavors under $15
86,Washington Albarino wine with pear and melon flavors
87,Knights Valley Merlot pepper leather baked cherry flavors
88,Italian Vernaccia wine with oak and citrus notes
89,Tuscan Rosato wine with cherry and pastry cream notes
90,Sonoma red blend with black fruit flavors under $25
91,Sonoma Coast Pinot Gris apricot melon guava flavors
92,Napa Meritage leather tobacco cedar flavors full-bodied
93,Austrian Gruner Veltliner green pear and citrus notes under $15
94,Washington Viognier stone-fruit and barrel flavors
95,Beaujolais Gamay age-worthy rich potential dark mineral
96,light and fruity Beaujolais wine under $20
97,Finger Lakes Riesling with honey and apple notes
98,Italian red wine with cherry and coffee flavors
99,Napa red blend with plum and tobacco flavors
100,"crisp Pinot Gris from Finger Lakes, good with food"
101,dry Riesling Finger Lakes apple nectarine tangerine
102,smoky Finger Lakes Riesling with lemon-lime notes
103,Chilean Chardonnay with green apple and oak
104,Tuscan red blend with cherry and cinnamon
105,fruity Italian white blend with apricot and pineapple
106,light Italian red blend cherry currant spice
107,Italian Vermentino with peach and citrus notes
108,Zinfandel with herbal and spicy flavors
109,easy drinking Tuscan red blend coffee mocha
110,Beaujolais red wine with plum and tannin
111,Napa Cabernet Sauvignon leather clove marshmallow
112,Tuscan red wine blend Merlot Alicante under $20
113,"light, refreshing white wine with citrus and apricot notes from Tuscany"
114,Paso Robles red blend Cabernet Sauvignon Merlot
115,"Paso Robles Chardonnay with pear, apple, and vanilla notes"
116,Santa Ynez Grenache Blanc tropical fruit
117,Central Coast Syrah with strawberry and cedar flavors
118,Tuscan red blend Cabernet Sangiovese Merlot
119,Alsace Riesling with petrol and honey notes
120,Barolo Nebbiolo dark fruit and earth
121,Alexander Valley Chardonnay pineapple pear vanilla
122,Rockpile Zinfandel big fruit flavor
123,Australian Shiraz Cabernet blend savory
124,Napa Cabernet Sauvignon blackberry currant
125,South African Cabernet Sauvignon Reserve
126,Alsace Gewurztraminer honey spice
127,Alsace white blend citrus apricot mineral under $15
128,"Alsace Pinot Blanc, fruity and mineral, under $20"
129,"South African red blend, full-bodied, needs aging"
130,"Barolo Nebbiolo with earthy notes, ready to drink soon"
131,"Alsace white blend, citrus and honey, crisp acidity"
132,"South African Cabernet Sauvignon, rich and tannic"
133,"Good Barolo wine, rich and smoky flavor"
134,Napa Cabernet Sauvignon needs aging
135,Aged Barolo with licorice and summer fruit flavors
136,"Saint-Émilion red blend, plum and cherry, $50"
137,"South African Chenin Blanc, creamy and almondy"
138,"Alsace white blend, mineral-driven, under $15"
139,"Sweet Alsace Pinot Gris, honey and tropical fruit"
140,"Barbera d'Alba, jammy and oaky, good value"
141,Barolo Nebbiolo with truffle and smoky notes
142,Dry Riesling with petrol notes Santa Lucia Highlands
143,Rich and dry Alsace Pinot Gris with mineral finish
144,"Spring Mountain Cabernet Sauvignon with cedar notes, drink now or later"
145,Santa Lucia Highlands Pinot Noir with cranberry and sage flavors
146,Santa Ynez Cabernet Sauvignon with dark fruit and savory notes
147,Santa Ynez Cabernet Sauvignon with chocolate and soft mouthfeel
148,"German Riesling dry, crisp, with peach and apricot flavors under $20"
149,"Monterey red blend with blackberry, caramel, and smoky notes"
150,"Napa Cabernet Sauvignon with floral, berry, and vanilla flavors under $30"
151,"Portuguese white wine rich, toasty, good aging potential"
152,Carmel Valley Pinot Noir with raspberry and herbal notes
153,"Paso Robles Syrah with dark fruit, tar, and espresso flavors"
154,"Spanish Graciano wine bold, peppery, with chocolate and espresso notes"
155,Santa Cruz Mountains Syrah with smoked black currant flavor
156,"Mosel Riesling sweet, zesty, with tangerine and honeycomb flavors under $20"
157,"Portuguese red wine rich, firm, with dark fruit flavors Alentejano"
158,"Chianti Classico Sangiovese with cherry, spice, and coffee notes"
159,Brunello di Montalcino Sangiovese with red berry and licorice flavors under $30
160,"rich, fruity Malbec from Cahors France, ready to drink in 2018"
161,Zinfandel Petite Sirah blend Paso Robles cinnamon and spice
162,California Riesling Edna Valley lemon grapefruit acidity
163,Beaujolais Gamay mature smoky tannins cherry plum notes
164,Chilean red blend Cabernet Sauvignon Syrah Merlot herbal notes
165,Maipo Valley Cabernet Sauvignon black olive herbs cassis plum
166,Tannat wine Madiran France black plum berry flavors
167,Cabernet Franc Paso Robles blackberry animal fat black pepper
168,Duckhorn Napa Merlot cherry kirsch rose petal lavender
169,Dutton-Goldfield Pinot Noir Russian River cranberry-raspberry toasted oak
170,Fritz Haag Riesling Mosel Germany peach apricot off-dry
171,Fritz Haag Riesling Mosel honey lemon citrus refreshing
172,Chile Cabernet Sauvignon Loncomilla Valley spicy tobacco cedar
173,Willamette Valley Pinot Noir cherry fruit luscious tannins
174,Stoneleigh Marlborough Sauvignon Blanc grapefruit nectarine fresh
175,Alto Adige Sauvignon Blanc tomato leaf citrus grapefruit
176,"Chilean red blend with Cabernet, Shiraz, and Zinfandel, around $50"
177,"Elegant Chianti Classico with berry, rose, and spice notes under $25"
178,"intense, peppery Syrah from Sonoma Valley, needs aging"
179,"Chablis Chardonnay with apricot, green apple, and grapefruit flavors"
180,"California Chardonnay with pineapple and lemon flavors, oaky"
181,Tart Pinot Noir from Arroyo Seco with cherry and cola notes
182,Brunello di Montalcino with bold fruit and chewy tannins under $30
183,Affordable Torrontes from Argentina with lychee and melon flavors
184,Sonoma Coast Chardonnay with pineapple and pear notes
185,"Carmenere blend from Chile, good value, cherry and cola flavor"
186,"Fruity Pinot Noir from Anderson Valley, cherry jam flavors, ready to drink"
187,"Sicilian red blend with oak, vanilla, and blueberry notes around $50"
188,"Value Merlot from Chile with plum and spice notes, easy drinking"
189,"Cheap Chardonnay from Casablanca Valley, pineapple and citrus flavors"
190,"Italian red blend from Campania, chocolate and plum flavors"
191,Easy drinking Cabernet Sauvignon from South Australia
192,"Italian red blend with cherry, clove, and blackberry notes under $25"
193,crisp Chardonnay from Burgundy with lemon and lime flavors
194,Chianti Classico with cherry cola and almond flavors
195,Tuscan red wine plum prune raisin jammy
196,crisp white wine Vernaccia di San Gimignano fruity and spicy
197,South African Chenin Blanc baked apple pie and orange flavors
198,Napa Cabernet Sauvignon red currant tobacco
199,California Cabernet Franc black cherry and olive notes
200,Brunello di Montalcino with dark fruit and spice flavors
201,Italian white blend Alto Adige apple peach ginger
202,"Israeli Syrah with raspberry, juniper and black pepper"
203,Portuguese red wine ready to drink black currant
204,Paso Robles GSM blend blackberry violets pepper
205,Arroyo Seco Chardonnay honeysuckle lemongrass smoked chicken
206,Napa Cabernet Sauvignon great value cherry raspberry vanilla
207,Dry Creek Zinfandel old vine spicy cranberry cherry
208,"South African white blend Sauvignon Blanc Semillon, fruity and creamy, under $50"
209,"Côtes du Rhône red blend, herbal and fruity, good price"
210,"South African Chardonnay, apple and pear notes, oaky, around $20"
211,"Vacqueyras red blend, herbs and cherry, firm tannins, age worthy"
212,"Rueda Verdejo barrel fermented, melon and apricot flavors, good quality"
213,"Paso Robles red blend, Petite Sirah Syrah Grenache, needs time"
214,"Dry Creek Valley red blend Grenache dominant, raspberry blueberry, peppery"
215,"Israeli red blend, dark fruit, chocolate, tobacco, good acidity, $80"
216,"Brunello di Montalcino Sangiovese, cherry licorice, orange peel, good structure"
217,"Portuguese red blend Baga Touriga Nacional, black fruit, toasty, good value"
218,"Napa Fumé Blanc, grapefruit lemon, lush, Robert Mondavi, around $20"
219,"Dry Furmint from Tokaj, citrus and pineapple, acidic finish, around $35"
220,"Sonoma Coast Chardonnay, tropical fruit, oaky, good with seafood"
221,"Alto Adige Pinot Bianco, chamomile white peach, mineral, good acidity, ~$40"
222,"Brunello di Montalcino Sangiovese, herb leather espresso, needs aging, ~$25"
223,"Alto Adige Pinot Bianco, apple pear herb, fresh creamy, ~$25"
224,Argentinian Malbec Lujan de Cuyo ripe plum flavors under $25
225,South African Chardonnay toasty and balanced under $30
226,Chenin Blanc South Africa Stellenbosch fruity and acidic
227,Finger Lakes Pinot Noir cherry vanilla easy drinking under $20
228,New York Riesling semi-dry crisp and refreshing under $15
229,Napa red blend like Rhone soft fruit forward under $20
230,Gewurztraminer Finger Lakes dry seafood pairing under $20
231,Argentinian Bonarda Mendoza dark fruit easy drinking under $15
232,Australian Shiraz peppery notes easy drinking under $15
233,Oregon Pinot Noir earthy rustic for beef bourguignon under $30
234,Italian Rosé Montepulciano raspberry blueberry under $15
235,Santa Barbara Syrah sweet cherry jam chocolate flavors under $50
236,Diamond Mountain Cabernet rich tannins blackberry flavors under $100
237,San Marino Moscato sweet honey peach flavors under $20
238,Australian Grenache big and earthy under $30
239,Mendocino Cabernet Sauvignon ripe blackberry dry under $40
240,"crisp, acidic white wine from Southwest France under $10"
241,"Napa Sangiovese with cherry and chocolate flavors, good with tomato sauce"
242,creamy California Chardonnay with pineapple and smoky oak flavors
243,"Finger Lakes sparkling wine, not too fruity, elegant"
244,easy-drinking Spanish red blend with raspberry and chocolate notes under $15
245,cheap Chardonnay that tastes like butter and lemon
246,"Australian Sauvignon Blanc with grapefruit and citrus notes, good value"
247,"Sonoma Merlot with cherry and blackberry pie flavors, drink now"
248,"light, tart Pinot Noir from Willamette Valley, tastes like cranberry"
249,"Virginia red blend with cherry, blueberry and chocolate notes, good tannins"
250,"soft, sweet Cabernet Sauvignon from Alexander Valley with blackberry flavors"
251,"earthy Pinot Noir from Willamette Valley, tastes like tomato"
252,"Amador Zinfandel with wild berry and spice, but not too dry"
253,Argentinian Malbec with black fruit flavors under $20
254,Petite Sirah from Napa with blackberry and smoked meat flavors
255,perfumed Pinot Noir from Cole Ranch
256,South African Syrah with plum and blueberry notes under $25
257,"South African red blend with spice and black cherry, under $20"
258,Cabernet Sauvignon from Stellenbosch South Africa with vanilla notes
259,"Cahors Malbec with dark plum and herbal notes, good price"
260,"Oregon Pinot Noir with cranberry flavor, needs aging"
261,Argentinian red blend with mint and tobacco flavors
262,Napa red blend zinfandel merlot syrah
263,"California Pinot Noir with cherry and spice, ready to drink"
264,South African Syrah with earthy spice and black cherry
265,South African Chardonnay with peach and buttercream notes
266,cheap red blend from Mendoza with dark berry and chocolate
267,Italian white blend with stone fruit and almond flavors
268,"Italian white wine from Veneto, stone fruit and lemon notes"
269,"Austrian red wine, smooth and fruity, ready to drink"
270,Friulano wine for seafood pairing
271,Greek white wine with lemon and grapefruit flavors for grilled fish
272,creamy Italian Pinot Bianco Alto Adige melon apricot
273,Argentinian red blend with coffee and berry notes under $20
274,Italian white wine for Thai curry under $15
275,Argentinian Cabernet Sauvignon with plum and spice notes under $35
276,Big bold Zinfandel Sonoma under $25
277,Napa Cabernet Sauvignon ready to drink blackberry blueberry
278,Fruity Oregon Pinot Noir with cherry flavor
279,rich and spicy Sauvignon Blanc with peach and citrus
280,Austrian Gruner Veltliner spicy tropical fruit under $30
281,California Pinot Noir lamb pairing
282,Tuscan red blend dark fruit spice leather
283,Oregon Pinot Noir red clay soil raspberry chocolate
284,jammy Malbec from Mendoza Argentina over $200
285,aromatic Riesling Austria pear lychee honey under $30
286,California Pinot Noir raspberry cherry cola
287,Spanish red blend blackberry coffee chocolate
288,crisp Austrian white wine with pear and apricot flavors under $30
289,Napa Cabernet Sauvignon chocolate blackberry flavor made by Philippe Melka
290,Bordeaux blend with black currant flavors for aging
291,Italian red wine Sagrantino with black fruit and spice notes
292,complex white wine with almond peach and smoky flavors
293,Australian Shiraz with dark plum and chocolate fudge notes
294,"Argentinian Malbec with black fruit and spice, elegant finish"
295,Paso Robles red blend jammy blackberry chocolate sandalwood
296,"Chilean Cabernet Sauvignon with cherry, vanilla, and oak flavors"
297,Napa Cabernet Sauvignon easy drinking blackberry cherry chocolate
298,Chilean Cabernet Sauvignon licorice prune forest flavors under $20
299,Italian red blend cherry cola forest berry flavors for cheese
300,Napa Sangiovese raspberry red currant bacon spice for cured meats
301,stainless steel Chardonnay lime lemon flavors shellfish pairing
302,Nebbiolo Roero with tar licorice and cherry liqueur notes
303,Barolo cured beef bacon mushroom flavors ready to drink
304,Barbera d'Asti Nizza aged tobacco prune
305,Zinfandel Mendocino steak black pepper clove
306,cheap Chardonnay Romania orange lemon honeysuckle
307,Burgundy Pinot Noir red fruit black cherry
308,Santorini white blend pineapple kiwi citrus poultry
309,Piedmont Nebbiolo less formal cherry berry spice
310,Langhe Nebbiolo braised quail pork tenderloin
311,Hawke's Bay Syrah peppery meaty cranberry
312,Napa Cabernet mocha smoky oak
313,Roero Nebbiolo cinnamon nutmeg cassis blueberry
314,Napa Cabernet blackberry cocoa good meal
315,Prosecco Valdobbiadene extra dry lime green fruit
316,Bordeaux white blend Sauvignon Blanc Muscadelle
317,Bordeaux white blend peaches pears toasty spice
318,Chile Merlot cinnamon pepper plum cherry cassis
319,Veneto Prosecco peach white stone citrus appetizers
320,organic prosecco with peach and melon flavors under $25
321,dry prosecco for appetizers under $20
322,sweetish prosecco with peach kiwi melon flavors
323,crisp Chilean Cabernet Sauvignon with red fruit flavors
324,rich prosecco with peach and honeysuckle notes
325,sweet white wine Finger Lakes apricot flavors
326,bubbly prosecco extra dry peach flavors
327,citrusy chardonnay for salad or seafood
328,fruity white blend California pineapple peach
329,sweet red zinfandel with cherry and mocha flavors
330,red blend central coast blackberry cherry
331,tropical gewurztraminer for summer fish
332,smooth prosecco with rose honey citrus notes
333,Italian extra dry prosecco good value
334,fruity rose champagne for a gift
335,organic prosecco with basil and spice notes
336,"Chilean Pinot Noir Colchagua Costa, Koyle Costa, harsh tannins, under $40"
337,light and breezy rosé Languedoc France under $20
338,Earthy rosé from Provence under $15
339,sweet sparkling rosé wine Cava Spain
340,light Pinot Gris Alsace France not very expressive
341,California Zinfandel with plum and raisin flavors
342,Sparkling wine Cava Spain funky and yeasty under $15
343,Chilean Pinot Noir tastes like green beans and grass
344,weird Chardonnay from Chile with pumpkin flavor
345,"old Australian Muscat Rutherglen, fig and molasses flavor"
346,"rich Australian Muscadelle Rutherglen, maple syrup notes"
347,expensive German Riesling mango and tangerine flavor
348,"Australian Muscat Rutherglen, dried fig, black tea, mocha"
349,Shiraz-Viognier blend Barossa Australia bacony meaty
350,"Barolo Nebbiolo Italy leather, cherry, and tobacco flavors"
351,Hungarian Furmint Tokaji honey apricot pear flavor
352,crisp Russian River Chardonnay with apricot and minerality under $70
353,expensive rich Montrachet Chardonnay with yellow fruit and spice
354,sweet German Riesling with apricot and caramel flavors
355,Rochioli Chardonnay with melon and nutmeg flavors
356,Australian Shiraz with dark fruit and chocolate notes
357,aged Burgundy Pinot Noir with black fruit and good acidity
358,sweet German Riesling with peach and mango flavors under $70
359,Chassagne-Montrachet Chardonnay with apple and citrus notes
360,creamy Barossa Shiraz-Viognier with bacon and tapenade flavors
361,Barolo Nebbiolo with cherry and spice flavors under $70
362,Napa Cabernet Sauvignon blueberry and chocolate flavors
363,rich white Burgundy Grand Cru with citrus fruit
364,Oregon Pinot Noir with black cherry and earthy tannins under $50
365,Clare Valley Shiraz full-bodied oaky with black cherry flavors
366,Pinot Bianco Alto Adige oaky and mineral flavors
367,Carmenere Maipo Valley good acidity under $15
368,"Italian white wine for seafood, citrusy, under $15"
369,"Chardonnay from Friuli, Italy with nutty and citrusy flavors"
370,Sonoma Cabernet Sauvignon with coffee and tobacco notes
371,"Sauvignon Blanc from Alto Adige, Italy, grassy and crisp"
372,"Affordable Italian Soave, crisp and fruity, under $15"
373,"Sauvignon Blanc from Northeastern Italy, grassy and tropical"
374,"California Sauvignon Blanc with citrus, melon, and a hint of sweetness"
375,"Tuscan Sangiovese with cherry, tobacco, and earthy flavors"
376,"Pinot Grigio from Friuli, Italy, with peach and almond notes"
377,"Greek White Blend with plum and apple flavors, around $25"
378,"Nebbiolo from Mexico, light and floral, under $20"
379,"Italian white blend for aperitif, apple and peach flavors"
380,"Chilean Merlot with chocolate and plum, good everyday red under $15"
381,"Italian white blend, mineral and smoky, best buy under $15"
382,"Chilean Cabernet Sauvignon, plum and chocolate flavors, around $15"
383,"Cheap and good Chardonnay from Italy, fruity and floral, under $10"
384,San Michele Eppan Gewürztraminer with rose and spice notes under $35
385,"Rutherford Sauvignon Blanc with melon, citrus, and mineral flavors under $20"
386,"Russian River Merlot with blackberry, espresso, and good acidity"
387,Alexander Valley Sauvignon Blanc similar to Chardonnay for food pairing
388,"Edna Valley Pinot Noir with cherry, tobacco, and cranberry flavors"
389,"Alto Adige white blend with melon, pear, and lime flavors under $20"
390,Affordable Chilean Cabernet Sauvignon with red fruit and buttery finish
391,"Central Valley Chardonnay with apple, pear, and spicy flavors under $15"
392,"Santa Ynez Sauvignon Blanc with lemon, lime, and honey notes under $15"
393,Lontué Valley Chardonnay with coconut and lemon curd flavors under $15
394,"Maipo Valley Merlot with cherry and berry flavors, good for current drinking"
395,"Collio white blend: Chardonnay, Pinot Grigio, Sauvignon Blanc"
396,"California Zinfandel with berry, cherry, and chocolate flavors for BBQ"
397,Colchagua Valley Pinot Noir with plum and cherry flavors under $20
398,Curicó Valley Sauvignon Blanc with nectarine and grapefruit flavors under $15
399,Prosecco di Valdobbiadene sparkling wine with stone fruit and pear notes
400,cheap Prosecco with butterscotch and lemon flavors for appetizers
401,light and bubbly Prosecco with lemon soda taste
402,affordable Chilean Syrah with black cherry and pepper notes
403,red blend wine for pizza with prosciutto and olives
404,california syrah with leather and blackberry notes
405,"Italian Prosecco with peach and citrus flavors, good price"
406,creamy champagne blend with caramel and almond flavor
407,cheap dry chardonnay with melon and citrus flavors
408,light and creamy Prosecco with lime and honey flavors
409,dry Gewürztraminer wine for spicy Indian or Thai food
410,Cabernet Franc with violet and blackberry notes for beef
411,cheap Cabernet Sauvignon with black currant and plum flavors
412,"rich Prosecco with peach and apricot flavors, good price"
413,organic Prosecco with lime and grapefruit notes under $15
414,"Prosecco with almond and peach aroma, a bit spicy"
415,"Finger Lakes Riesling for seafood, salads, and cheese"
416,"light and fruity Prosecco for summer afternoon, under $20"
417,"sweet Prosecco with honey and peach notes, Veneto Italy"
418,fruity Austrian red blend ready to drink now
419,"smooth Bordeaux red blend drinkable now, under $25"
420,rich white Bordeaux with pear and apricot flavors
421,"Washington Merlot with spice, good but not distinctive"
422,"refreshing white wine, star fruit and citrus notes"
423,"unique white wine, pear and arugula flavors"
424,full-bodied dry white wine for dinner California
425,"light-bodied rosé for summer, New York, under $20"
426,"Rioja Tempranillo cherry cassis, good value under $20"
427,sparkling rose wine raspberry notes for special occasion
428,crisp Grüner Veltliner with pear and earthy notes
429,"bold Syrah with dark fruit and spice, Washington State"
430,"crisp Sauvignon Blanc with lime, easy drinking California"
431,"Tempranillo rosé with fruity flavors, good for spicy food"
432,Washington Riesling with lime and watermelon flavors under $20
433,Unusual dry white wine California apricot flavor tangy
434,Barolo wine with coffee and chocolate notes under $100
435,Austrian white wine creamy pear and apple good with food
436,Italian white wine Gavi apricot and almond notes cheap
437,Alexander Valley red blend Bordeaux style licorice and pepper
438,Spanish red wine Bierzo plum and licorice notes under $20
439,Spanish red wine plum and spice flavors Northern Spain
440,Walla Walla Cabernet Sauvignon chocolate and cherry flavors
441,Austrian rose wine strawberry and citrus dry and refreshing
442,Long Island Cabernet Franc blackberry and coffee flavors
443,Sonoma Zinfandel berry and chocolate full-bodied
444,Grüner Veltliner wine green pear flavor Austria
445,Sicilian Rosato red cherry and strawberry crisp finish
446,Paso Robles Cabernet Sauvignon blueberry and pepper notes
447,French white wine melon and pear flavors crisp aftertaste
448,"Rhone white blend recommendations, citrusy and fruity, under $20"
449,"Italian sparkling wine no sugar added, almond flavor"
450,"Champagne with citrus and toast flavors, around $25"
451,Tuscan red wine cherry plum tobacco spice flavors
452,"Meursault Chardonnay for aging, apricot peach flavor"
453,Champagne with toast and apple flavors ready to drink now
454,Canadian ice wine peach papaya lychee brown sugar notes
455,Carneros Chardonnay citrus green apple peach flavors
456,affordable luxurious sparkling wine honey raisin apple pear notes
457,Santa Maria Pinot Noir raspberry strawberry cola flavors
458,Franciacorta sparkling wine creamy apple nut spice thyme sage flavors
459,Champagne apple grapefruit toast flavors good balance elegance
460,Oregon Pinot Noir wild berries tea peach long finish
461,Oregon Pinot Blanc almond citrus zippy acidity mineral notes
462,Meursault Premier Cru Chardonnay rich yellow fruits green plums citrus
463,Champagne toast bright fruits intense acidity ready to drink
464,"German Riesling dry, fruity, with pineapple and peach flavor, around $100"
465,"Italian Amarone wine, spicy, with cherry and plum flavors, good with cheese"
466,"Crisp Champagne with mineral taste and good acidity, under $30"
467,"Oregon Pinot Noir with dark fruit and spicy notes, Willamette Valley"
468,"Fruity German Riesling, pineapple and apricot aromas, Mosel region, under $50"
469,"Mosel Riesling Kabinett, honey and peach flavors, good acidity, around $30"
470,"Extra Brut Champagne, very dry, crisp, citrus and green apple flavors"
471,"Burgundy Pinot Noir Chambolle-Musigny, ripe berry flavors, good for aging"
472,"Burgundy Pinot Noir Chambolle-Musigny, fruit salad taste, good tannins, $70"
473,"Portuguese red blend wine, needs aging, Alentejano region, under $40"
474,"Mature Champagne, toasty flavors, good acidity, drink now, around $25"
475,"Napa Cabernet Sauvignon, Rutherford, cherry and blackberry, needs aging"
476,"Super Tuscan wine Napa Valley, blackberry cherry, needs aging, under $100"
477,"Pomerol Bordeaux blend, Cabernet Franc, berry fruits, needs aging, $60"
478,"Vintage Champagne, mature toast flavors, zesty texture, Grand Cru, under $30"
479,"Cannonau di Sardegna, fruity and fresh, simple, under $20"
480,Red Mountain Washington Bordeaux blend with strawberry and herb flavors under $50
481,"Cannonau wine from Sardinia with blackberry and spice flavors, good price"
482,"Pinot Noir from Sta. Rita Hills with cherry and cola notes, good acidity"
483,"South African Chenin Blanc with fig and apple flavors, crisp and refreshing"
484,fruity Chenin Blanc from South Africa with green apple and lime notes under $15
485,"Rhone blend red wine with black cherry and olive flavors, good for stews"
486,"Sonoma Cabernet Sauvignon with blackberry and spice flavors, good for steak"
487,"Italian white blend with candied fruit and apricot flavors, unique taste"
488,"Creamy Pinot Grigio from Friuli, Italy with peach and apple notes"
489,"Italian Sauvignon wine with tomato leaf and citrus notes, creamy mouthfeel"
490,"Cava sparkling wine from Spain, kiwi and gooseberry flavors, good value"
491,"Austrian Gruner Veltliner with apple and kiwi flavors, crisp acidity"
492,"Walla Walla Sangiovese blend with citrus and stone fruit, interesting and complex"
493,"Red Mountain Washington red blend with berry and plum flavors, a bit tame"
494,"Finger Lakes Chardonnay with tropical fruit and apple blossom, balanced"
495,"El Dorado Chardonnay with jasmine and apricot flavors, good for midweek dinner"
496,"Rueda Verdejo, barrel-fermented, creamy and soft"
497,California Cabernet Franc with herbal and spicy notes
498,Carneros Pinot Noir with cherry and cola flavors under $20
499,Provence rosé with red berry and pepper flavors
500,"Rioja Rosado with watermelon and vanilla aromas, cheap"
501,Lodi Verdelho with nutty taste and tangy sweetness
502,Light and sweet Moscato from Austria for aperitif
503,Russian River Sauvignon Blanc with pineapple and lemon flavors
504,"Côtes du Rhône red blend with cherry-berry fruit, easy drinking"
505,Spanish Tempranillo with smoky and dark fruit flavors
506,Italian white blend with floral and stone fruit notes
507,Wahluke Slope Syrah with herb and earthy notes
508,Yakima Valley Tempranillo with herbal and cocoa hints
509,"Napa Valley red blend, cabernet sauvignon, howell mountain"
510,"Monterey Chardonnay with flint, smoke, and apple cider notes"
511,"Champagne blend with orange edge, needs time"
512,Champagne with crisp acidity and citrus notes under $60
513,California Cabernet Sauvignon with cherry and cassis flavors
514,chocolatey merlot under $40
